zip,x,y,city,case,death
36279,523.6017083,299.4747178,WELLINGTON,22221,488
36280,621.2193375,429.1313952,WOODLAND,3298,64
36301,621.3470208,984.3649325,DOTHAN,17360,412
36303,630.9156333,981.3351517,DOTHAN,17360,412
36305,599.6183333,966.330127,DOTHAN,17360,412
36310,650.5026875,880.732016,ABBEVILLE,3119,66
36311,570.0265458,906.9167908,ARITON,8884,185
36312,642.7968417,973.9070988,ASHFORD,17360,412
36313,534.8196292,983.8685363,BELLWOOD,4568,127
36314,529.7959167,997.4098221,BLACK,4568,127
36316,534.8595792,977.1520686,CHANCELLOR,4568,127
36317,575.989475,918.9142087,CLOPTON,8884,185
36318,508.8901208,983.951689,COFFEE SPRINGS,4568,127
36319,660.5078125,964.958612,COLUMBIA,17360,412
36320,632.6172292,996.5861067,COTTONWOOD,17360,412
36321,635.1477875,970.6701923,COWARTS,17360,412
36322,556.0789042,953.0463626,DALEVILLE,8884,185
36323,481.9779208,919.024575,ELBA,9205,191
36330,509.50445,942.1027157,ENTERPRISE,9205,191
36340,540.5563708,1008.214881,GENEVA,4568,127
36343,661.2656875,1001.436427,GORDON,17360,412
36344,558.9923167,995.0240965,HARTFORD,4568,127
36345,635.1738333,931.5017586,HEADLAND,3119,66
36346,504.0211167,879.2818839,JACK,9205,191
36350,594.0310125,937.291452,MIDLAND CITY,8884,185
36351,512.4464542,921.3205965,NEW BROCKTON,9205,191
36352,565.0500292,932.766687,NEWTON,8884,185
36353,622.3992333,918.0985566,NEWVILLE,3119,66
36360,566.5185833,908.2558007,OZARK,8884,185
36362,549.6786792,939.2047193,FORT RUCKER,8884,185
36370,663.3532708,986.3338869,PANSEY,17360,412
36371,591.0937083,944.219329,PINCKARD,8884,185
36373,671.9384083,895.4374392,SHORTERVILLE,3119,66
36374,589.0125875,876.8573538,SKIPPERVILLE,8884,185
36375,583.6171833,987.1331604,SLOCOMB,4568,127
36376,642.3908792,958.1133837,WEBB,17360,412
36401,292.3158833,898.4110289,EVERGREEN,1859,53
36420,422.663725,945.0458161,ANDALUSIA,6706,183
36425,253.5361833,878.6184264,BEATRICE,3314,64
36426,283.675325,989.076161,BREWTON,6766,134
36432,302.8713,928.22,CASTLEBERRY,1859,53
36435,221.6417875,802.0139063,COY,1687,39
36436,137.8286458,873.4201249,DICKINSON,4754,84
36439,236.0480708,913.4714887,EXCEL,3314,64
36441,263.3446917,1006.566947,FLOMATON,6766,134
36442,433.7929333,1016.73677,FLORALA,6706,183
36444,214.7793958,872.9141535,FRANKLIN,3314,64
36445,227.7842958,890.155229,FRISCO CITY,3314,64
36446,157.3708542,824.4812529,FULTON,4754,84
36451,145.5773792,844.0563985,GROVE HILL,4754,84
36453,474.0454958,961.4805627,KINSTON,9205,191
36454,293.7487958,904.0291254,LENOX,1859,53
36455,411.2202042,955.9524223,LOCKHART,6706,183
36456,358.5488708,883.9243225,MC KENZIE,3258,96
36460,240.9648583,878.7847318,MONROEVILLE,3314,64
36467,428.5759333,956.0736236,OPP,6706,183
36470,218.5993208,893.6657834,PERDUE HILL,3314,64
36471,259.5263333,868.9240854,PETERMAN,3314,64
36473,293.7487958,904.0291254,RANGE,1859,53
36474,411.2202042,955.9524223,RED LEVEL,6706,183
36475,244.0678375,928.1610372,REPTON,1859,53
36476,411.2202042,955.9524223,RIVER FALLS,6706,183
36477,476.0774625,1003.594365,SAMSON,4568,127
36480,204.5371167,885.1701006,URIAH,3314,64
36481,240.5438167,817.9754386,VREDENBURGH,3314,64
36482,170.1393833,851.7349173,WHATLEY,4754,84
36483,375.0893458,1016.077848,WING,6706,183
36502,210.4581375,991.4586109,ATMORE,6766,134
36505,103.5591833,1036.966806,AXIS,72497,1339
36507,154.3773458,1081.283649,BAY MINETTE,37224,552
36509,56.9949125,1168.086466,BAYOU LA BATRE,72497,1339
36511,154.9382125,1156.371767,BON SECOUR,37224,552
36512,71.81322917,1107.647328,BUCKS,72497,1339
36513,72.23015833,919.2138103,CALVERT,2513,51
36518,58.6164125,911.6547289,CHATOM,2513,51
36521,71.04047083,1039.542018,CHUNCHULA,72497,1339
36522,53.109775,1072.462159,CITRONELLE,72497,1339
36523,66.01440833,1175.319488,CODEN,72497,1339
36524,94.5514375,816.0130357,COFFEEVILLE,4754,84
36525,88.8644375,1035.644426,CREOLA,72497,1339
36526,167.14,1137.516018,DAPHNE,37224,552
36527,126.1937958,1087.759478,SPANISH FORT,37224,552
36528,80.24875,1209.445846,DAUPHIN ISLAND,72497,1339
36529,72.23015833,919.2138103,DEER PARK,2513,51
36530,194.9794708,1169.657043,ELBERTA,37224,552
36532,143.7841333,1131.832659,FAIRHOPE,37224,552
36535,166.9048042,1155.839842,FOLEY,37224,552
36538,72.23015833,919.2138103,FRANKVILLE,2513,51
36539,72.23015833,919.2138103,FRUITDALE,2513,51
36540,137.8286458,873.4201249,GAINESTOWN,4754,84
36541,41.55835,1148.170142,GRAND BAY,72497,1339
36542,146.9601583,1201.869127,GULF SHORES,37224,552
36543,212.1156708,967.2284278,HUXFORD,6766,134
36544,61.06824583,1152.933782,IRVINGTON,72497,1339
36545,126.5361125,872.2698463,JACKSON,4754,84
36548,72.23015833,919.2138103,LEROY,2513,51
36549,212.65245,1173.540777,LILLIAN,37224,552
36550,162.7977875,963.9960569,LITTLE RIVER,37224,552
36551,171.7608833,1144.27129,LOXLEY,37224,552
36553,91.927075,968.9806813,MC INTOSH,2513,51
36555,146.6145125,1165.910638,MAGNOLIA SPRINGS,37224,552
